request_id,ok,ttft,latency,prompt_tokens,completion_tokens,total_tokens,token_count_source,output_chars,error
0,True,0.08384989388287067,21.681321709416807,2041,1024,3065,server_usage,3152,
1,True,0.05401330627501011,21.573258207179606,2041,1024,3065,server_usage,3081,
2,True,0.05411028768867254,21.57416055072099,2041,1024,3065,server_usage,3081,
3,True,0.08247812744230032,21.680686285719275,2041,1024,3065,server_usage,3152,
4,True,0.05330314300954342,21.57317045237869,2041,1024,3065,server_usage,3081,
5,True,0.08244739007204771,21.67831796966493,2041,1024,3065,server_usage,3152,
6,True,0.10413269139826298,21.725859623402357,2041,1024,3065,server_usage,3434,
7,True,0.0809782212600112,21.67442152183503,2041,1024,3065,server_usage,3152,
8,True,0.10371915344148874,21.73631844203919,2041,1024,3065,server_usage,3434,
9,True,0.04709387291222811,21.494601515121758,2041,1024,3065,server_usage,1962,
10,True,0.0505966292694211,21.5672769844532,2041,1024,3065,server_usage,3081,
11,True,0.10039704572409391,21.715460133738816,2041,1024,3065,server_usage,3434,
12,True,0.10064481105655432,21.71191251371056,2041,1024,3065,server_usage,3434,
13,True,0.09974904917180538,21.71379349566996,2041,1024,3065,server_usage,3434,
14,True,0.09958883840590715,21.711989857256413,2041,1024,3065,server_usage,3434,
15,True,0.09946086723357439,21.710217820480466,2041,1024,3065,server_usage,3434,
16,True,0.11822522431612015,21.76047412212938,2041,1024,3065,server_usage,3176,
17,True,0.11730583850294352,21.761636083945632,2041,1024,3065,server_usage,3176,
18,True,0.11744628101587296,21.758168482221663,2041,1024,3065,server_usage,3176,
19,True,0.11618878040462732,21.759479373693466,2041,1024,3065,server_usage,3176,
20,True,0.11533550824970007,21.761871797032654,2041,1024,3065,server_usage,3176,
21,True,0.11555161327123642,21.750629055313766,2041,1024,3065,server_usage,3176,
22,True,0.11474942695349455,21.75999212730676,2041,1024,3065,server_usage,3176,
23,True,0.13401674758642912,21.782205709256232,2041,1024,3065,server_usage,3284,
24,True,0.13321057334542274,21.797147227451205,2041,1024,3065,server_usage,3284,
25,True,0.13379491120576859,21.78036788944155,2041,1024,3065,server_usage,3284,
26,True,0.13371971901506186,21.773834459483624,2041,1024,3065,server_usage,3284,
27,True,0.13245674781501293,21.78183576464653,2041,1024,3065,server_usage,3284,
28,True,0.1319636320695281,21.77994119655341,2041,1024,3065,server_usage,3284,
29,True,0.13175395876169205,21.795921325683594,2041,1024,3065,server_usage,3284,
30,True,0.15986450389027596,21.819349568337202,2041,1024,3065,server_usage,3182,
31,True,0.15776344761252403,21.810418807901442,2041,1024,3065,server_usage,3182,
32,True,0.15637162514030933,21.81869284529239,2041,1024,3065,server_usage,3182,
33,True,0.1573821222409606,21.820542618632317,2041,1024,3065,server_usage,3182,
34,True,0.15396541729569435,21.81797614879906,2041,1024,3065,server_usage,3182,
35,True,0.17409272212535143,21.847625134512782,2041,1024,3065,server_usage,2894,
36,True,0.1553271133452654,21.806947629898787,2041,1024,3065,server_usage,3182,
37,True,0.15421706903725863,21.802449001930654,2041,1024,3065,server_usage,3182,
38,True,0.1524064987897873,21.806504377163947,2041,1024,3065,server_usage,3182,
39,True,0.17202236503362656,21.836384907364845,2041,1024,3065,server_usage,2894,
40,True,0.17088937759399414,21.837298984639347,2041,1024,3065,server_usage,2894,
41,True,0.17038880661129951,21.835924212820828,2041,1024,3065,server_usage,2894,
42,True,0.1697300085797906,21.830785412341356,2041,1024,3065,server_usage,2894,
43,True,0.1685242047533393,21.832986475899816,2041,1024,3065,server_usage,2894,
44,True,0.1697495374828577,21.845968274399638,2041,1024,3065,server_usage,2894,
45,True,0.16676323860883713,21.829877357929945,2041,1024,3065,server_usage,2894,
46,True,0.18363068252801895,21.860283905640244,2041,1024,3065,server_usage,1962,
47,True,0.18362278770655394,21.860211628489196,2041,1024,3065,server_usage,1962,
48,True,0.1844883132725954,21.854916276410222,2041,1024,3065,server_usage,1962,
49,True,0.18263476341962814,21.860005903989077,2041,1024,3065,server_usage,1962,
50,True,0.18211294244974852,21.853431497700512,2041,1024,3065,server_usage,1962,
51,True,0.18290523067116737,21.857553789392114,2041,1024,3065,server_usage,1962,
52,True,0.18102286662906408,21.8597160493955,2041,1024,3065,server_usage,1962,
53,True,0.20134176034480333,21.898362739942968,2041,1024,3065,server_usage,3505,
54,True,0.20204340852797031,21.879475974477828,2041,1024,3065,server_usage,3505,
55,True,0.17925297189503908,21.856557087041438,2041,1024,3065,server_usage,1962,
56,True,0.20019674114882946,21.89049333333969,2041,1024,3065,server_usage,3505,
57,True,0.20064078457653522,21.888548651710153,2041,1024,3065,server_usage,3505,
58,True,0.1977012250572443,21.883579379878938,2041,1024,3065,server_usage,3505,
59,True,0.19676225166767836,21.882242238149047,2041,1024,3065,server_usage,3505,
60,True,0.2115377364680171,21.896533343940973,2041,1024,3065,server_usage,3008,
61,True,0.20351162552833557,21.89626415912062,2041,1024,3065,server_usage,3008,
62,True,0.20501852501183748,21.893147005699575,2041,1024,3065,server_usage,3008,
63,True,0.23033177759498358,22.002203131094575,2041,1024,3065,server_usage,3050,
