request_id,ok,ttft,latency,prompt_tokens,completion_tokens,total_tokens,token_count_source,output_chars,tpot,timed_out,error
0,True,0.23891631187871099,16.40566239482723,2041,1024,3065,server_usage,3245,0.015803270853322112,False,
1,True,0.14659483497962356,16.36303174099885,2041,1024,3065,server_usage,3110,0.015851844482912245,False,
2,True,0.23658951302058995,16.395133706042543,2041,1024,3065,server_usage,3245,0.015795253365612858,False,
3,True,0.23561673099175096,16.40896280715242,2041,1024,3065,server_usage,3245,0.015809722459590097,False,
4,True,0.23343290109187365,16.40538373007439,2041,1024,3065,server_usage,3245,0.015808358581605588,False,
5,True,0.23439793684519827,16.40760597283952,2041,1024,3065,server_usage,3245,0.0158095875229661,False,
6,True,0.2341915189754218,16.398854159051552,2041,1024,3065,server_usage,3245,0.01580123425227383,False,
7,True,0.23534858715720475,16.398910135030746,2041,1024,3065,server_usage,3245,0.015800157915809913,False,
8,True,0.2354961538221687,16.40193668100983,2041,1024,3065,server_usage,3245,0.015802972167338867,False,
9,True,0.23314229398965836,16.395147182047367,2041,1024,3065,server_usage,3245,0.01579863625421086,False,
10,True,0.23270028200931847,16.3951107528992,2041,1024,3065,server_usage,3245,0.01579903271836743,False,
11,True,0.23122684913687408,16.400400090031326,2041,1024,3065,server_usage,3245,0.015805643441734556,False,
12,True,0.23225848004221916,16.400203068042174,2041,1024,3065,server_usage,3245,0.015804442412512176,False,
13,True,0.23067383794113994,16.40405669203028,2041,1024,3065,server_usage,3245,0.01580975841064432,False,
14,True,0.22640758706256747,16.392988989129663,2041,1024,3065,server_usage,3245,0.015803109874943398,False,
15,True,0.22681451309472322,16.391998264938593,2041,1024,3065,server_usage,3245,0.01580174364794122,False,
16,True,0.22747234092094004,16.40187022695318,2041,1024,3065,server_usage,3245,0.015810750621732393,False,
17,True,0.22392068593762815,16.39383613411337,2041,1024,3065,server_usage,3245,0.015806368962048626,False,
18,True,0.22405408695340157,16.389067878946662,2041,1024,3065,server_usage,3245,0.015801577509279824,False,
19,True,0.22395959892310202,16.382654106011614,2041,1024,3065,server_usage,3245,0.015795400300184274,False,
20,True,0.2226656440179795,16.393676633946598,2041,1024,3065,server_usage,3245,0.015807439872852998,False,
21,True,0.22189758787862957,16.382661549840122,2041,1024,3065,server_usage,3245,0.015797423227723845,False,
22,True,0.21937026013620198,16.387976684141904,2041,1024,3065,server_usage,3245,0.015805089368529524,False,
23,True,0.2201532139442861,16.385679800994694,2041,1024,3065,server_usage,3245,0.01580207877522034,False,
24,True,0.21926655597053468,16.385610742028803,2041,1024,3065,server_usage,3245,0.01580287799223682,False,
25,True,0.2174010940361768,16.380842586047947,2041,1024,3065,server_usage,3245,0.015800040559151293,False,
26,True,0.21883280901238322,16.390753380954266,2041,1024,3065,server_usage,3245,0.015808329004830774,False,
27,True,0.21769264293834567,16.391224578022957,2041,1024,3065,server_usage,3245,0.015809904139867655,False,
28,True,0.2158341051544994,16.38364137406461,2041,1024,3065,server_usage,3245,0.015804308180752794,False,
29,True,0.21687599597498775,16.386801282176748,2041,1024,3065,server_usage,3245,0.01580637857888735,False,
30,True,0.21640746388584375,16.386863759951666,2041,1024,3065,server_usage,3245,0.015806897650113217,False,
31,True,0.2143566538579762,16.38633424299769,2041,1024,3065,server_usage,3245,0.015808384740117025,False,
32,True,0.21479879599064589,16.38155859406106,2041,1024,3065,server_usage,3245,0.015803284260088382,False,
33,True,0.21513943700119853,16.38768265186809,2041,1024,3065,server_usage,3245,0.015808937648941243,False,
34,True,0.21326940692961216,16.389873343985528,2041,1024,3065,server_usage,3245,0.015812907074345958,False,
35,True,0.2144588059745729,16.380712492158636,2041,1024,3065,server_usage,3245,0.015802789527061645,False,
36,True,0.21215364686213434,16.383713759947568,2041,1024,3065,server_usage,3245,0.01580797665013239,False,
37,True,0.21068250807002187,16.378794440999627,2041,1024,3065,server_usage,3245,0.015804605995043602,False,
38,True,0.2129357890225947,16.385037451982498,2041,1024,3065,server_usage,3245,0.015808506024398733,False,
39,True,0.21128578297793865,16.38104211189784,2041,1024,3065,server_usage,3245,0.01580621342025406,False,
40,True,0.21017143595963717,16.382143263937905,2041,1024,3065,server_usage,3245,0.015808379108483157,False,
41,True,0.210136238951236,16.37557558203116,2041,1024,3065,server_usage,3245,0.01580199349274675,False,
42,True,0.20884654205292463,16.372750966111198,2041,1024,3065,server_usage,3245,0.015800493083145916,False,
43,True,0.20992364012636244,16.369901131140068,2041,1024,3065,server_usage,3245,0.01579665443891858,False,
44,True,0.20982976187951863,16.369172158883885,2041,1024,3065,server_usage,3245,0.01579603362366018,False,
45,True,0.2204335320275277,16.380110708996654,2041,1024,3065,server_usage,2784,0.015796360876802664,False,
46,True,0.2072477419860661,16.37658209609799,2041,1024,3065,server_usage,3245,0.015805800932660728,False,
47,True,0.22099265409633517,16.384178364882246,2041,1024,3065,server_usage,2784,0.01579979052862748,False,
48,True,0.04889879212714732,15.961378409061581,2041,1024,3065,server_usage,3388,0.015554721033171489,False,
49,True,0.07287298887968063,16.04138143802993,2041,1024,3065,server_usage,2982,0.015609490175122434,False,
50,True,0.07205444807186723,16.039711425080895,2041,1024,3065,server_usage,2982,0.01560865784653864,False,
51,True,0.06028551608324051,16.018301896052435,2041,1024,3065,server_usage,3914,0.015599233998014854,False,
52,True,0.11550548602826893,16.092204581946135,2041,1024,3065,server_usage,3256,0.015617496672451481,False,
53,True,0.0706336940638721,16.04001804208383,2041,1024,3065,server_usage,2982,0.01561034638125118,False,
54,True,0.07000146387144923,16.036716617876664,2041,1024,3065,server_usage,2982,0.015607737198441069,False,
55,True,0.14471429609693587,16.117109591141343,2041,1024,3065,server_usage,3870,0.015613289633474494,False,
56,True,0.08155258698388934,16.057825220981613,2041,1024,3065,server_usage,3898,0.01561707979862925,False,
