concurrency,requests,prompt_tokens,output_tokens,success,failures,wall_s,throughput_tok_s,lat_p50,lat_p99,ttft_p50,ttft_p99
1,4,2048,512,4,0,21.46,95.2,5.334,5.516,0.02,0.156
2,8,2048,512,8,0,22.91,178.5,5.728,5.735,0.021,0.031
4,16,2048,512,16,0,23.1,354.0,5.775,5.791,0.022,0.032
8,32,2048,512,32,0,23.35,700.2,5.847,5.876,0.03,0.054
16,64,2048,512,64,0,23.81,1373.5,5.951,5.968,0.037,0.063
32,128,2048,512,128,0,29.68,2205.1,7.391,7.467,0.043,0.1
64,256,2048,512,256,0,32.83,3985.9,8.196,8.26,0.052,0.182
