request_id,ok,ttft,latency,prompt_tokens,completion_tokens,total_tokens,token_count_source,output_chars,error
0,True,0.8298207437619567,21.464742796495557,2041,1024,3065,server_usage,2799,
1,True,0.8318894281983376,21.455795262008905,2041,1024,3065,server_usage,2799,
2,True,0.8296025227755308,21.494683912955225,2041,1024,3065,server_usage,2799,
3,True,0.827594161964953,21.440907063893974,2041,1024,3065,server_usage,2799,
4,True,0.827041020616889,21.449781872332096,2041,1024,3065,server_usage,2799,
5,True,0.8284819638356566,21.457365008071065,2041,1024,3065,server_usage,2799,
6,True,0.8260335437953472,21.43910937011242,2041,1024,3065,server_usage,2799,
7,True,0.8249538820236921,21.51094527449459,2041,1024,3065,server_usage,2799,
8,True,0.5614965790882707,21.3744079163298,2041,1024,3065,server_usage,4002,
9,True,0.8248559683561325,21.465997668914497,2041,1024,3065,server_usage,2799,
10,True,0.8232431411743164,21.51173808798194,2041,1024,3065,server_usage,2799,
11,True,0.8265761556103826,21.445184507407248,2041,1024,3065,server_usage,2799,
12,True,0.8244592705741525,21.43414250947535,2041,1024,3065,server_usage,2799,
13,True,0.8208408989012241,21.51042844168842,2041,1024,3065,server_usage,2799,
14,True,0.8242154028266668,21.434096914716065,2041,1024,3065,server_usage,2799,
15,True,0.8233558526262641,21.490052161738276,2041,1024,3065,server_usage,2799,
16,True,0.8194828415289521,21.451965262182057,2041,1024,3065,server_usage,2799,
17,True,0.8191564362496138,21.487987084314227,2041,1024,3065,server_usage,2799,
18,True,0.8229100639000535,21.470978796482086,2041,1024,3065,server_usage,2799,
19,True,0.8207453694194555,21.491051955148578,2041,1024,3065,server_usage,2799,
20,True,0.8189052045345306,21.466470077633858,2041,1024,3065,server_usage,2799,
21,True,0.8175125429406762,21.454020361416042,2041,1024,3065,server_usage,2799,
22,True,0.8159670326858759,21.46902775298804,2041,1024,3065,server_usage,2799,
23,True,0.8193138539791107,21.43467832915485,2041,1024,3065,server_usage,2799,
24,True,0.8174705840647221,21.46225560363382,2041,1024,3065,server_usage,2799,
25,True,0.819305507466197,21.462742750532925,2041,1024,3065,server_usage,2799,
26,True,0.8163635395467281,21.502637554891407,2041,1024,3065,server_usage,2799,
27,True,0.814477700740099,21.451530474238098,2041,1024,3065,server_usage,2799,
28,True,0.8148712599650025,21.448966004885733,2041,1024,3065,server_usage,2799,
