request_id,ok,ttft,latency,prompt_tokens,completion_tokens,total_tokens,token_count_source,output_chars,tpot,timed_out,error
0,True,0.12843001098372042,1.9449899620376527,154,128,282,server_usage,611,0.014303621661841986,False,
1,True,0.2464126271661371,1.9603829861152917,157,128,285,server_usage,611,0.013495829598024839,False,
2,True,0.2466365690343082,1.9609786770306528,155,128,283,server_usage,611,0.013498756755876728,False,
3,True,0.2460723069962114,1.9562689720187336,156,128,284,server_usage,611,0.013466115472618286,False,
4,True,0.2462028320878744,1.9572315639816225,157,128,285,server_usage,611,0.013472667180265732,False,
5,True,0.24581796792335808,1.9572874289005995,155,128,283,server_usage,589,0.013476137488009774,False,
6,True,0.2452103439718485,1.9575152080506086,156,128,284,server_usage,611,0.013482715465187088,False,
7,True,0.24514553206972778,1.9559363960288465,155,128,283,server_usage,553,0.01347079420440251,False,
8,True,0.24256584607064724,1.9566598571836948,159,128,287,server_usage,587,0.01349680323711061,False,
9,True,0.2425634521059692,1.9526663611177355,160,128,288,server_usage,611,0.01346537723631312,False,
10,True,0.2364602640736848,1.9485277209896594,158,128,286,server_usage,589,0.01348084611744862,False,
11,True,0.2351712880190462,1.94947317102924,159,128,287,server_usage,611,0.013498440023702313,False,
12,True,0.2342787580564618,1.9445543019101024,157,128,285,server_usage,588,0.013466736565776698,False,
13,True,0.31815977510996163,1.9620420990977436,159,128,287,server_usage,605,0.012943955306990409,False,
14,True,0.23296866100281477,1.9419955250341445,156,128,284,server_usage,588,0.013456904441191573,False,
15,True,0.31652756221592426,1.9598116201814264,157,128,285,server_usage,588,0.012939244550909466,False,
16,True,0.3164344180840999,1.9635822579730302,158,128,286,server_usage,588,0.012969668030621499,False,
17,True,0.31448807404376566,1.9594838130287826,158,128,286,server_usage,520,0.012952722354212732,False,
18,True,0.31456250394694507,1.9602841190062463,158,128,286,server_usage,532,0.012958437913852766,False,
19,True,0.31337745394557714,1.9604506930336356,156,128,284,server_usage,520,0.012969080622740619,False,
