request_id,ok,ttft,latency,prompt_tokens,completion_tokens,total_tokens,token_count_source,output_chars,error
0,True,0.332 32214394956827,21.433301193639636,2041,1024,3065,server_usage,3898,
1,True,0.33084921166300774,21.435360791161656,2041,1024,3065,server_usage,3898,
2,True,0.24348224233835936,21.31706284172833,2041,1024,3065,server_usage,3124,
3,True,0.3319797394797206,21.444587789475918,2041,1024,3065,server_usage,3898,
4,True,0.3309193728491664,21.44219147786498,2041,1024,3065,server_usage,3898,
5,True,0.32885447703301907,21.44274604227394,2041,1024,3065,server_usage,3898,
6,True,0.3313277019187808,21.42913110461086,2041,1024,3065,server_usage,3898,
7,True,0.3280537389218807,21.4292647652328,2041,1024,3065,server_usage,3898,
8,True,0.33156627137213945,21.441896743141115,2041,1024,3065,server_usage,3898,
9,True,0.3271857360377908,21.44393887743354,2041,1024,3065,server_usage,3898,
10,True,0.3273450154811144,21.44271527417004,2041,1024,3065,server_usage,3898,
11,True,0.3280762601643801,21.408851522952318,2041,1024,3065,server_usage,3898,
12,True,0.3280348237603903,21.41304442472756,2041,1024,3065,server_usage,3898,
13,True,0.32344250846654177,21.40825284551829,2041,1024,3065,server_usage,3898,
14,True,0.3271294804289937,21.432138055562973,2041,1024,3065,server_usage,3898,
15,True,0.3252098159864545,21.428527588956058,2041,1024,3065,server_usage,3898,
16,True,0.32526737451553345,21.432028708979487,2041,1024,3065,server_usage,3898,
17,True,0.3213528459891677,21.408772714436054,2041,1024,3065,server_usage,3898,
18,True,0.3250281037762761,21.408112863078713,2041,1024,3065,server_usage,3898,
19,True,0.32111905701458454,21.437355164438486,2041,1024,3065,server_usage,3898,
20,True,0.3216773075982928,21.436355834826827,2041,1024,3065,server_usage,3898,
21,True,0.32430888060480356,21.40566615667194,2041,1024,3065,server_usage,3898,
22,True,0.32273841369897127,21.438513474538922,2041,1024,3065,server_usage,3898,
23,True,0.32121484633535147,21.44202625658363,2041,1024,3065,server_usage,3898,
24,True,0.31981035228818655,21.423045420087874,2041,1024,3065,server_usage,3898,
25,True,0.318900890648365,21.427275052294135,2041,1024,3065,server_usage,3898,
26,True,0.3189641796052456,21.420475021004677,2041,1024,3065,server_usage,3898,
27,True,0.32041249703615904,21.42941890656948,2041,1024,3065,server_usage,3898,
28,True,0.3210748629644513,21.425538341514766,2041,1024,3065,server_usage,3898,
29,True,0.32106693740934134,21.437789602205157,2041,1024,3065,server_usage,3898,
30,True,0.3180546583607793,21.432865785434842,2041,1024,3065,server_usage,3898,
31,True,0.31981046311557293,21.420805072411895,2041,1024,3065,server_usage,3898,
32,True,0.31768412981182337,21.424019182100892,2041,1024,3065,server_usage,3898,
33,True,0.31559162214398384,21.43727993313223,2041,1024,3065,server_usage,3898,
34,True,0.3182903416454792,21.442179845646024,2041,1024,3065,server_usage,3898,
35,True,0.3168128402903676,21.426614406518638,2041,1024,3065,server_usage,3898,
36,True,0.3176048621535301,21.39629167225212,2041,1024,3065,server_usage,3898,
37,True,0.31683959160000086,21.4368049595505,2041,1024,3065,server_usage,3898,
38,True,0.3146840538829565,21.394163406454027,2041,1024,3065,server_usage,3898,
39,True,0.3149276925250888,21.42931402940303,2041,1024,3065,server_usage,3898,
40,True,0.31690828036516905,21.437948811799288,2041,1024,3065,server_usage,3898,
41,True,0.31693460047245026,21.420066443271935,2041,1024,3065,server_usage,3898,
42,True,0.3134589083492756,21.400732059963048,2041,1024,3065,server_usage,3898,
43,True,0.313531294465065,21.415823185816407,2041,1024,3065,server_usage,3898,
44,True,0.31632239650934935,21.43197436630726,2041,1024,3065,server_usage,3898,
45,True,0.3155239149928093,21.426005952991545,2041,1024,3065,server_usage,3898,
46,True,0.31236765440553427,21.420611759647727,2041,1024,3065,server_usage,3898,
47,True,0.3150133527815342,21.414078912697732,2041,1024,3065,server_usage,3898,
