concurrency,requests,prompt_tokens,output_tokens,success,failures,wall_s,throughput_tok_s,lat_p50,lat_p99,ttft_p50,ttft_p99
4,8,256,64,8,0,1.54,332.0,0.797,0.808,0.073,0.087
4,8,256,64,8,0,1.63,314.1,0.877,0.891,0.108,0.167
128,128,1024,6000,128,0,476.19,1611.6,282.674,473.872,0.205,0.229
128,128,1024,6000,128,0,423.0,1814.4,252.305,422.482,0.271,0.313
128,128,1024,6000,128,0,438.27,1751.3,266.882,435.573,0.215,0.247
