request_id,ok,ttft,latency,prompt_tokens,completion_tokens,total_tokens,token_count_source,output_chars,tpot,timed_out,error
0,True,1.7864322219975293,17.01772241597064,2075,1024,3099,server_usage,4610,0.014888846719426304,False,
1,True,1.2639298860449344,16.40642326697707,2076,1024,3100,server_usage,4610,0.014802046315671688,False,
2,True,1.6339869140647352,16.84316573687829,2076,1024,3100,server_usage,4610,0.014867232475868578,False,
3,True,1.0329029140993953,16.13828950910829,2077,1024,3101,server_usage,4610,0.014765773797662654,False,
4,True,1.410044286865741,16.583148125791922,2079,1024,3103,server_usage,4610,0.014831968562000176,False,
5,True,1.1884593579452485,16.31775318295695,2077,1024,3101,server_usage,4610,0.014789143523960607,False,
6,True,2.0134930990170687,17.27320426888764,2077,1024,3101,server_usage,4610,0.0149166287095509,False,
7,True,1.8591117470059544,17.100636363960803,2076,1024,3100,server_usage,4610,0.014898851042966616,False,
8,True,1.4824610769283026,16.668582608923316,2075,1024,3099,server_usage,4610,0.01484469357966277,False,
9,True,1.3344487941358238,16.491677701938897,2077,1024,3101,server_usage,4610,0.014816450545262046,False,
10,True,1.9356082768645138,17.186131211929023,2075,1024,3099,server_usage,4610,0.014907647052848983,False,
11,True,2.2461557099595666,17.52422629809007,2079,1024,3103,server_usage,4610,0.014934575354966279,False,
12,True,2.4027336367871612,17.690697486978024,2076,1024,3100,server_usage,4610,0.014944246187869856,False,
13,True,1.5556323379278183,16.753318968927488,2072,1024,3096,server_usage,4610,0.014855998661778757,False,
14,True,2.5617073129396886,17.856111926026642,2078,1024,3102,server_usage,4610,0.014950542143780013,False,
15,True,2.64175631897524,17.938368228031322,2075,1024,3099,server_usage,4610,0.014952699813349055,False,
16,True,2.3226510579697788,17.605581833980978,2081,1024,3105,server_usage,4610,0.014939326271760702,False,
17,True,2.7220207809004933,18.019307170063257,2074,1024,3098,server_usage,4610,0.014953359129191362,False,
18,True,2.802664636867121,18.09961939183995,2080,1024,3104,server_usage,4610,0.014953034951097587,False,
19,True,2.88299502315931,19.91219951119274,2077,1024,3101,server_usage,4610,0.016646338697979893,False,
20,True,1.1097929950337857,16.222562826937065,2079,1024,3103,server_usage,4610,0.014772991038028621,False,
21,True,1.7021856650244445,16.92172164306976,2078,1024,3102,server_usage,4610,0.01487735677228281,False,
22,True,2.0834141911473125,17.349961639149114,2078,1024,3102,server_usage,4610,0.014923311288369307,False,
23,True,2.159320920938626,17.4323206639383,2076,1024,3100,server_usage,4610,0.01492961851710623,False,
24,True,2.474411997012794,17.76584276300855,2075,1024,3099,server_usage,4610,0.014947635157376106,False,
25,True,3.0413487621117383,22.96343474299647,2075,1024,3099,server_usage,4610,0.019474179844462102,False,
26,True,3.1235652479808778,24.308996864128858,2073,1024,3097,server_usage,4610,0.020709121814416403,False,
27,True,2.9561897572129965,21.52161989407614,2074,1024,3098,server_usage,4610,0.018148025549230833,False,
28,True,3.290124933933839,26.7825533808209,2076,1024,3100,server_usage,4610,0.022964250681219024,False,
29,True,3.2054409731645137,25.55965102207847,2078,1024,3102,server_usage,4610,0.0218516227262111,False,
30,True,3.3757096498738974,27.894114271970466,2076,1024,3100,server_usage,4610,0.023967159943398406,False,
31,True,3.5472103860229254,29.936460711993277,2077,1024,3101,server_usage,4610,0.025795943622649416,False,
32,True,3.459628070006147,28.91600779304281,2078,1024,3102,server_usage,4610,0.02488404665008471,False,
33,True,3.63266135007143,30.842763296095654,2076,1024,3100,server_usage,4610,0.026598340123190834,False,
34,True,3.720410390989855,31.735073331044987,2078,1024,3102,server_usage,4610,0.02738481225811841,False,
35,True,3.7969275179784745,32.6048168388661,2077,1024,3101,server_usage,4610,0.028160204614748413,False,
36,True,17.588476716075093,32.815254986984655,2078,1024,3102,server_usage,4610,0.014884436237448253,False,
37,True,17.505749420030043,32.72678212518804,2077,1024,3101,server_usage,4610,0.014878819848639292,False,
38,True,17.671404743101448,32.90111562306993,2078,1024,3102,server_usage,4610,0.014887302912970166,False,
39,True,17.75435715401545,32.98879299801774,2077,1024,3101,server_usage,4610,0.014891921646141048,False,
40,True,17.835846330970526,33.074827811913565,2077,1024,3101,server_usage,4610,0.014896365084010791,False,
41,True,17.918652325868607,33.16199401393533,2076,1024,3100,server_usage,4610,0.014900627261062288,False,
42,True,18.081952696898952,33.334613115061074,2078,1024,3102,server_usage,4610,0.01490973647914186,False,
43,True,17.999520014040172,33.247862313874066,2078,1024,3102,server_usage,4610,0.014905515444607912,False,
44,True,18.243517640978098,33.50599675090052,2079,1024,3103,server_usage,4610,0.01491933441830149,False,
45,True,18.161251791985705,33.41947079310194,2074,1024,3098,server_usage,4610,0.014915170089067675,False,
46,True,18.323931294027716,33.59142039390281,2080,1024,3104,server_usage,4610,0.014924231769183864,False,
47,True,18.40712135285139,33.6768373248633,2078,1024,3102,server_usage,4610,0.014926408574791699,False,
48,True,2.375969307962805,17.64884971594438,2078,1024,3102,server_usage,4610,0.014929501865084628,False,
49,True,2.3684204588644207,17.643342749914154,2077,1024,3101,server_usage,4610,0.014931497840713327,False,
50,True,2.363797035999596,17.63907739217393,2078,1024,3102,server_usage,4610,0.014931847855497884,False,
51,True,2.3598848420660943,17.63554712710902,2075,1024,3099,server_usage,4610,0.014932221197500418,False,
52,True,2.3576142080128193,17.631146823987365,2075,1024,3099,server_usage,4610,0.014930139409554786,False,
53,True,2.352411444997415,17.625611145049334,2078,1024,3102,server_usage,4610,0.014929813978545375,False,
54,True,2.350940918084234,17.620937807951123,2079,1024,3103,server_usage,4596,0.014926683176800478,False,
55,True,2.3532152879051864,17.619030117057264,2078,1024,3102,server_usage,4610,0.014922595140911122,False,
56,True,2.3540351409465075,20.421289881924167,2076,1024,3100,server_usage,4610,0.01766105057769077,False,
57,True,3.1103737577795982,26.10883976891637,2079,1024,3103,server_usage,4610,0.022481393950280322,False,
58,True,12.041110506979749,28.17807804699987,2076,1024,3100,server_usage,4610,0.015774161818201488,False,
59,True,13.86777145205997,29.590183434076607,2077,1024,3101,server_usage,4610,0.015368926668637964,False,
60,True,14.699421275872737,30.679604400880635,2077,1024,3101,server_usage,4610,0.015620902370486703,False,
61,True,15.559649764094502,30.853056881111115,2079,1024,3103,server_usage,4610,0.01494956707430754,False,
62,True,15.564938769908622,30.85801086598076,2075,1024,3099,server_usage,4610,0.014949239585603262,False,
63,True,15.56749563314952,30.86153028998524,2077,1024,3101,server_usage,4610,0.014950180505215757,False,
64,True,15.5719924881123,30.86510418797843,2078,1024,3102,server_usage,4610,0.014949278298989375,False,
65,True,15.575023122131824,30.869361160090193,2080,1024,3104,server_usage,4610,0.01495047706545295,False,
66,True,15.577756566926837,30.87198521895334,2079,1024,3103,server_usage,4610,0.014950370138833338,False,
67,True,15.580238519934937,30.87503298697993,2075,1024,3099,server_usage,4610,0.014950923232693054,False,
68,True,15.584239901043475,30.878211539937183,2079,1024,3103,server_usage,4610,0.014950118904099422,False,
69,True,15.588783022016287,30.881629542913288,2077,1024,3101,server_usage,4610,0.014949019082010753,False,
70,True,15.591624621069059,30.88410867913626,2079,1024,3103,server_usage,4610,0.014948664768394137,False,
71,True,15.596533650998026,30.889221703866497,2074,1024,3098,server_usage,4610,0.014948864176802024,False,
72,True,13.870509064989164,29.161100551020354,2077,1024,3101,server_usage,5073,0.014946814746853557,False,
73,True,12.335026385029778,27.600967350881547,2078,1024,3102,server_usage,4610,0.014922718441692833,False,
74,True,10.980013433843851,26.172461734851822,2071,1024,3095,server_usage,4610,0.014850878104602122,False,
75,True,9.80177978402935,24.85122809605673,2079,1024,3103,server_usage,4610,0.014711093169137223,False,
76,True,8.633484289981425,23.609075281070545,2076,1024,3100,server_usage,4610,0.014638896374476169,False,
77,True,7.494833187898621,22.399563907878473,2078,1024,3102,server_usage,4610,0.014569629247292134,False,
78,True,6.464519147062674,21.29862928809598,2080,1024,3104,server_usage,4610,0.014500596423297466,False,
79,True,5.523999436991289,20.28786715096794,2079,1024,3103,server_usage,4596,0.014431933249244038,False,
80,True,4.586682013003156,19.28062615985982,2079,1024,3103,server_usage,4610,0.0143635817662333,False,
81,True,3.762320277048275,18.38501679408364,2076,1024,3100,server_usage,4610,0.014293935989281881,False,
82,True,2.9534295219928026,17.50377064407803,2077,1024,3101,server_usage,4610,0.014223207352966987,False,
83,True,2.16679350589402,16.644909308990464,2076,1024,3100,server_usage,4610,0.014152605868129466,False,
84,True,2.1273335011210293,19.208825340028852,2076,1024,3100,server_usage,4610,0.01669745047791576,False,
85,True,2.1263031808193773,22.133680183906108,2076,1024,3100,server_usage,4610,0.01955755327769964,False,
86,True,2.1242914949543774,23.047127477126196,2076,1024,3100,server_usage,4610,0.02045243009009953,False,
87,True,2.122205948922783,23.885337800951675,2078,1024,3102,server_usage,4571,0.021273833677447597,False,
88,True,2.1216845670714974,24.72592465719208,2078,1024,3102,server_usage,4610,0.02209603136864182,False,
89,True,2.1234152549877763,26.175497068092227,2072,1024,3096,server_usage,4610,0.02351132142043446,False,
90,True,2.0902219449635595,27.073947651777416,2079,1024,3103,server_usage,4610,0.024422019263747662,False,
91,True,15.465561262099072,27.188367054099217,2078,1024,3102,server_usage,4610,0.011459243198436114,False,
92,True,15.463303782045841,27.113723702030256,2078,1024,3102,server_usage,4610,0.011388484770268246,False,
93,True,15.462328867986798,27.03894337383099,2076,1024,3100,server_usage,4596,0.011316338715390216,False,
94,True,15.460681316908449,26.96417000796646,2075,1024,3099,server_usage,4610,0.011244856980506363,False,
95,True,15.434028258081526,26.88919869903475,2075,1024,3099,server_usage,4610,0.011197625064470406,False,
